     100	     334	      69
     200	     762	     164
     300	    1223	     120
     400	    1745	     253
     500	    1782	     267
     600	    2588	     254
     700	    2943	       0
     800	    3439	     327
     900	    3903	     772
    1000	    4316	     142
    1100	    4748	     100
    1200	    5183	     571
    1300	    5035	     388
    1400	    6234	     665
    1500	    6618	    1284
    1600	    7076	     845
    1700	    7277	    1679
    1800	    7972	    1247
    1900	    8577	    1349
    2000	    8925	     102
    2100	    9428	    2076
    2200	    9942	    1309
    2300	    9953	    1313
    2400	   10742	    1704
    2500	   11109	    2024
    2600	   11871	    1265
    2700	   12283	     609
    2800	   12738	     860
    2900	   11923	    2053
    3000	   13645	    2426
    3100	   13482	     116
    3200	   14567	    1966
    3300	   15194	    1982
    3400	   15460	     694
    3500	   15867	    2919
    3600	   16439	    2781
    3700	   16631	    3551
    3800	   17118	    2795
    3900	   17660	    2816
    4000	   18372	    1212
    4100	   18707	    1163
    4200	   19522	    1554
    4300	   19171	    3206
    4400	   20197	    3688
    4500	   20780	    2532
    4600	   20539	    2733
    4700	   21345	    2234
    4800	   22082	    2251
    4900	   22720	    1435
    5000	   22781	    2801
    5100	   23707	    2259
    5200	   23810	    3268
    5300	   24624	    2026
    5400	   25191	    3361
    5500	   25574	     819
    5600	   26194	    2429
    5700	   26696	    4268
    5800	   27307	    2030
    5900	   27524	    1475
    6000	   27984	    5786
    6100	   28342	    2310
    6200	   28385	    5700
    6300	   29222	    3285
    6400	   29742	    2172
    6500	   30414	    6367
    6600	   30581	    2290
    6700	   30277	    3074
    6800	   31245	    6333
    6900	   31262	    6811
    7000	   32942	    6412
    7100	   32706	    1870
    7200	   33677	    2883
    7300	   34603	    5430
    7400	   34821	    2285
    7500	   35164	      28
    7600	   35854	    6750
    7700	   36282	    1746
    7800	   36309	     341
    7900	   36936	    1714
    8000	   37674	    4677
    8100	   34271	     372
    8200	   38755	    7619
    8300	   38997	    7183
    8400	   38597	    1669
    8500	   39188	    5738
    8600	   40354	    2244
    8700	   40659	    8690
    8800	   40647	    4423
    8900	   41760	    8722
    9000	   41961	    1842
    9100	   41620	    6585
    9200	   42950	    6238
    9300	   43383	    4992
    9400	   44180	    6623
    9500	   38411	    2003
    9600	   44360	    4137
    9700	   45294	    4638
    9800	   45744	    6057
    9900	   46922	    9395
   10000	   46357	    3689
     100	     345	       6
     200	     725	     114
     300	    1159	     202
     400	    1628	      63
     500	    2048	      44
     600	    2487	      36
     700	    2916	     176
     800	    3382	     114
     900	    3810	     688
    1000	    4394	     583
    1100	    4383	     463
    1200	    5316	     395
    1300	    5622	      12
    1400	    6187	     441
    1500	    6579	     970
    1600	    7169	     659
    1700	    7465	    1211
    1800	    7578	    1324
    1900	    7471	     249
    2000	    9000	    1425
    2100	    9195	     331
    2200	   10045	     418
    2300	   10313	    1835
    2400	   10938	     620
    2500	   11393	    1439
    2600	   11374	    1633
    2700	   12202	      93
    2800	   12928	    1299
    2900	   13185	    1380
    3000	   13551	    1251
    3100	   13400	     974
    3200	   14636	    2337
    3300	   15131	    3185
    3400	   15034	    1728
    3500	   16105	     385
    3600	   16606	     857
    3700	   16996	    1166
    3800	   17660	    2080
    3900	   18024	    2688
    4000	   18159	    1587
    4100	   19144	    3695
    4200	   19059	     205
    4300	   19637	     277
    4400	   18649	    3421
    4500	   20689	    2135
    4600	   21425	     374
    4700	   21696	    1743
    4800	   22170	    4147
    4900	   21740	    2871
    5000	   23222	    3227
    5100	   23116	    1313
    5200	   24233	     474
    5300	   23782	    4801
    5400	   25161	     727
    5500	   25002	     556
    5600	   26235	     614
    5700	   25419	     531
    5800	   26172	    2341
    5900	   25050	     398
    6000	   27752	      50
    6100	   28676	    5935
    6200	   28822	    1191
    6300	   29010	     302
    6400	   29369	    5574
    6500	   30297	     195
    6600	   30827	    3743
    6700	   31166	    5482
    6800	   31747	    5121
    6900	   29245	    1259
    7000	   32811	    2529
    7100	   32509	     428
    7200	   33326	    6400
    7300	   33255	    1911
    7400	   34386	    4221
    7500	   34999	    5903
    7600	   35484	    2197
    7700	   35102	    6702
    7800	   36856	    3570
    7900	   37342	    3013
    8000	   37108	    4559
    8100	   37845	    1740
    8200	   37734	    1981
    8300	   37970	    7327
    8400	   39260	    4841
    8500	   40179	    6007
    8600	   40269	    1832
    8700	   40355	    7405
    8800	   41465	    5133
    8900	   41824	    3264
    9000	   42340	    4697
    9100	   42626	    6866
    9200	   43632	    2278
    9300	   43777	      48
    9400	   44095	    1274
    9500	   44503	    3605
    9600	   45262	    6739
    9700	   44811	    2304
    9800	   46233	    4797
    9900	   46546	     460
   10000	   47468	    4043
     100	     363	      95
     200	     711	     176
     300	    1214	      47
     400	    1586	      78
     500	    2052	     449
     600	    2522	     422
     700	    3037	     147
     800	    3421	     356
     900	    3965	     752
    1000	    4288	     734
    1100	    4806	     780
    1200	    5203	     261
    1300	    5770	     317
    1400	    6176	     748
    1500	    6636	     542
    1600	    6988	      22
    1700	    7641	     760
    1800	    7787	    1297
    1900	    7939	     863
    2000	    8862	    1268
    2100	    9318	    1654
    2200	    9847	     676
    2300	   10275	     703
    2400	   10738	    1499
    2500	   10487	    1422
    2600	   12031	     484
    2700	   12193	    1430
    2800	   12736	    1451
    2900	   13090	     120
    3000	   13569	    2065
    3100	   14098	     109
    3200	   13083	    2017
    3300	   14268	    2730
    3400	   15580	    2257
    3500	   15840	    1983
    3600	   16535	     683
    3700	   16428	    1979
    3800	   17322	    2894
    3900	   17707	     391
    4000	   18180	    1870
    4100	   18468	     720
    4200	   18404	    1779
    4300	   19482	    1821
    4400	   20228	    2404
    4500	   20708	     105
    4600	   20930	    4527
    4700	   21767	    2745
    4800	   22272	    2531
    4900	   22610	    1100
    5000	   23182	    4387
    5100	   23291	    3549
    5200	   23644	     858
    5300	   24340	    2478
    5400	   24834	    3667
    5500	   25352	    3702
    5600	   24850	    1817
    5700	   26456	    5151
    5800	   26806	    1505
    5900	   27604	    3861
    6000	   27588	    3554
    6100	   28123	    4768
    6200	   28485	    5562
    6300	   29084	     816
    6400	   29711	    4540
    6500	   30262	    2736
    6600	   30543	    3381
    6700	   31167	     882
    6800	   30925	    6024
    6900	   31954	     162
    7000	   32532	    6129
    7100	   32388	    3061
    7200	   33723	    5482
    7300	   34471	     471
    7400	   32883	    6024
    7500	   35085	    1757
    7600	   35529	    2982
    7700	   35814	    2979
    7800	   36126	    5924
    7900	   36432	    1534
    8000	   37786	    1144
    8100	   38093	    4341
    8200	   36705	    5483
    8300	   38457	    1675
    8400	   39146	    2339
    8500	   39553	    8445
    8600	   39794	    5973
    8700	   40808	     372
    8800	   41530	    8799
    8900	   42053	    5778
    9000	   42025	      62
    9100	   42697	    2694
    9200	   43345	    9060
    9300	   41505	    2508
    9400	   43834	    7995
    9500	   44801	    7990
    9600	   44744	     290
    9700	   45242	    5069
    9800	   45311	    9282
    9900	   46019	    1821
   10000	   46457	    1506
     100	     294	      32
     200	     761	     102
     300	    1201	     287
     400	    1582	      33
     500	    1973	     129
     600	    2481	     408
     700	    3015	     536
     800	    3400	      64
     900	    4017	      76
    1000	    4443	     130
    1100	    4585	     971
    1200	    5299	     882
    1300	    5794	     841
    1400	    6188	     500
    1500	    6639	      51
    1600	    7091	     273
    1700	    7697	     498
    1800	    7782	      37
    1900	    8460	      46
