     100	     513	      69
     200	     767	     164
     300	    1057	     120
     400	    2045	     253
     500	    2803	     267
     600	    3187	     254
     700	    2430	       0
     800	    5058	     327
     900	    4772	     772
    1000	    5740	     142
    1100	    2569	     100
    1200	    4303	     571
    1300	    6481	     388
    1400	    7024	     665
    1500	    6342	    1284
    1600	    6889	     845
    1700	    3081	    1679
    1800	   12201	    1247
    1900	    7266	    1349
    2000	    3929	     102
    2100	    3925	    2076
    2200	   11007	    1309
    2300	   14003	    1313
    2400	    8817	    1704
    2500	   12010	    2024
    2600	   11197	    1265
    2700	   10897	     609
    2800	   14147	     860
    2900	   10437	    2053
    3000	   10440	    2426
    3100	   14804	     116
    3200	   12300	    1966
    3300	   17023	    1982
    3400	   20594	     694
    3500	    9958	    2919
    3600	   15103	    2781
    3700	   11965	    3551
    3800	   22603	    2795
    3900	   14992	    2816
    4000	   19113	    1212
    4100	   21329	    1163
    4200	   23132	    1554
    4300	   15354	    3206
    4400	   15128	    3688
    4500	   14743	    2532
    4600	   20556	    2733
    4700	   20835	    2234
    4800	   25451	    2251
    4900	   15597	    1435
    5000	   24071	    2801
    5100	   17560	    2259
    5200	   36560	    3268
    5300	   27658	    2026
    5400	   32238	    3361
    5500	   17612	     819
    5600	   21438	    2429
    5700	   31867	    4268
    5800	   37200	    2030
    5900	   41582	    1475
    6000	   12859	    5786
    6100	   28069	    2310
    6200	   13649	    5700
    6300	   31045	    3285
    6400	   31791	    2172
    6500	   11556	    6367
    6600	   35381	    2290
    6700	   33742	    3074
    6800	   28547	    6333
    6900	   26923	    6811
    7000	   37581	    6412
    7100	   22346	    1870
    7200	   35551	    2883
    7300	   37732	    5430
    7400	   35905	    2285
    7500	   18668	      28
    7600	   19373	    6750
    7700	   34094	    1746
    7800	   21434	     341
    7900	   31453	    1714
    8000	   35563	    4677
    8100	   13848	     372
    8200	   32215	    7619
    8300	   19812	    7183
    8400	   37453	    1669
    8500	   64020	    5738
    8600	   35538	    2244
    8700	   26914	    8690
    8800	   44707	    4423
    8900	   26125	    8722
    9000	   33865	    1842
    9100	   43053	    6585
    9200	   33501	    6238
    9300	   28820	    4992
    9400	   37096	    6623
    9500	   24059	    2003
    9600	   47092	    4137
    9700	   35713	    4638
    9800	   39821	    6057
    9900	   46940	    9395
   10000	   38900	    3689
     100	     263	       6
     200	    1103	     114
     300	    1650	     202
     400	    1615	      63
     500	    1735	      44
     600	    2193	      36
     700	    4329	     176
     800	    2022	     114
     900	    4110	     688
    1000	    3740	     583
    1100	    4493	     463
    1200	    8430	     395
    1300	    5315	      12
