       300	      5811  	0.001536
       400	      7710  	0.002085
       500	     10093  	0.002689
       600	     12293  	0.003221
       700	     15658  	0.003978
       800	     16941  	0.005069
       900	     20917  	0.005649
      1000	     21161  	0.005689
      1100	     23992  	0.007984
      1200	     26001  	0.008356
      1300	     28797  	0.007721
      1400	     31948  	0.008896
      1500	     33413  	0.009212
      1600	     36478  	0.012253
      1700	     38926  	0.010232
      1800	     41263  	0.012273
      1900	     45807  	0.011559
      2000	     46457  	0.014553
      2100	     50217  	0.016953
      2200	     51696  	0.014077
      2300	     55481  	0.015307
      2400	     55511  	0.018929
      2500	     59739  	0.016953
      2600	     60504  	0.016315
      2700	     63919  	0.017127
      2800	     67015  	0.020182
      2900	     71370  	0.028520
      3000	     71117  	0.020460
      3100	     74143  	0.021369
      3200	     76718  	0.022321
      3300	     81061  	0.022715
      3400	     82627  	0.022838
      3500	     82486  	0.023037
      3600	     86247  	0.024932
      3700	     98658  	0.026724
      3800	     93094  	0.029765
      3900	     96713  	0.028717
      4000	    106429  	0.027901
      4100	     96709  	0.027287
      4200	    104402  	0.029015
      4300	    107602  	0.030228
      4400	    107113  	0.030758
      4500	    112983  	0.031404
      4600	    111699  	0.031954
      4700	    113825  	0.031275
      4800	    116928  	0.033887
      4900	    124995  	0.036383
      5000	    122846  	0.034774
       100	      1712  	0.000473
       200	      3849  	0.000985
       300	      5661  	0.002725
       400	      8114  	0.002180
       500	     10821  	0.002877
       600	     12581  	0.003515
       700	     15278  	0.004153
       800	     16560  	0.011540
       900	     19377  	0.010179
      1000	     21649  	0.011117
      1100	     25319  	0.007587
      1200	     26422  	0.014058
      1300	     28454  	0.008659
      1400	     31255  	0.019641
      1500	     32862  	0.009380
      1600	     36936  	0.010966
      1700	     38593  	0.011221
      1800	     43334  	0.013062
      1900	     45750  	0.012074
      2000	     45693  	0.012367
      2100	     49831  	0.016568
      2200	     49497  	0.013310
      2300	     52866  	0.027430
      2400	     56289  	0.033117
      2500	     58748  	0.039191
      2600	     61208  	0.040923
      2700	     62868  	0.033968
      2800	     66545  	0.037717
      2900	     70680  	0.037740
      3000	     70698  	0.018897
      3100	     77366  	0.021350
      3200	     78705  	0.022078
      3300	     79962  	0.023044
      3400	     81325  	0.023321
      3500	     95291  	0.025610
      3600	     85550  	0.024997
      3700	     91390  	0.025577
      3800	     89532  	0.027795
      3900	     93080  	0.026328
      4000	     98922  	0.096015
      4100	    101965  	0.106097
      4200	    108858  	0.053033
      4300	    105295  	0.035332
      4400	    110484  	0.094232
      4500	    120300  	0.040670
      4600	    113117  	0.083446
      4700	    117025  	0.039961
      4800	    117417  	0.031266
      4900	    121679  	0.123618
      5000	    126111  	0.112284
       100	      1621  	0.000515
       200	      3727  	0.000974
       300	      5885  	0.001596
       400	      8204  	0.002182
       500	     10322  	0.002686
       600	     12625  	0.003405
       700	     14545  	0.003897
       800	     17774  	0.004761
       900	     19211  	0.031745
      1000	     22702  	0.013571
      1100	     24486  	0.019670
      1200	     26101  	0.007326
      1300	     30258  	0.007708
      1400	     31768  	0.008576
      1500	     36296  	0.027925
      1600	     35920  	0.011915
      1700	     39715  	0.010292
      1800	     39361  	0.034993
      1900	     44387  	0.012369
