       100	      1654      0.000443
       200	      4015      0.001012
       300	      6065      0.001568
       400	      8374      0.002079
       500	     10618      0.002642
       600	     14239      0.003732
       700	     15746      0.003860
       800	     18241      0.004425
       900	     20970      0.005486
      1000	     24005      0.007288
      1100	     26388      0.007793
      1200	     29263      0.009126
      1300	     32474      0.009637
      1400	     34545      0.008278
      1500	     36586      0.009347
      1600	     40663      0.009754
      1700	     42200      0.010206
      1800	     46788      0.011654
      1900	     49338      0.018254
      2000	     51038      0.012445
      2100	     52527      0.014158
      2200	     58198      0.013925
      2300	     61317      0.014682
      2400	     60465      0.014933
      2500	     64351      0.015785
      2600	     70270      0.016680
      2700	     74213      0.017569
      2800	     73819      0.019339
      2900	     76809      0.018741
      3000	     80006      0.019875
      3100	     83308      0.019998
      3200	     85361      0.020561
      3300	     86802      0.021264
      3400	     91560      0.021653
      3500	     99642      0.023117
      3600	    105296      0.024291
      3700	    101954      0.024050
      3800	    104094      0.024718
      3900	    105033      0.025364
      4000	    108309      0.027290
      4100	    116279      0.027812
      4200	    124351      0.029463
      4300	    118616      0.028610
      4400	    121612      0.029396
      4500	    123050      0.029763
      4600	    131868      0.031382
      4700	    134803      0.032410
      4800	    136541      0.032493
      4900	    137936      0.032813
      5000	    140484      0.038088
       100	      1917      0.000570
       200	      3739      0.000934
       300	      6220      0.001554
       400	      8969      0.002248
       500	     11685      0.003770
       600	     13957      0.003518
       700	     15794      0.005024
       800	     18849      0.004940
       900	     21354      0.006619
      1000	     23935      0.005798
      1100	     26189      0.007024
      1200	     29989      0.011865
      1300	     32267      0.011045
      1400	     35787      0.009375
      1500	     37574      0.010455
      1600	     40876      0.010870
      1700	     43526      0.011143
      1800	     46547      0.012584
      1900	     47798      0.016151
      2000	     50088      0.012232
      2100	     54617      0.057268
      2200	     59058      0.067210
      2300	     61201      0.053714
      2400	     61561      0.082368
      2500	     64745      0.052690
      2600	     70405      0.051348
      2700	     70080      0.055292
      2800	     73866      0.048823
      2900	     76460      0.056582
      3000	     84667      0.073152
      3100	     82277      0.057572
      3200	     86101      0.049214
      3300	     86997      0.041275
      3400	     93629      0.045128
      3500	     91855      0.063640
      3600	    105474      0.078685
      3700	    102045      0.065430
      3800	    104343      0.051906
      3900	    109462      0.047233
      4000	    109294      0.052847
      4100	    112515      0.136876
      4200	    117812      0.089745
      4300	    118253      0.028591
      4400	    123671      0.029856
      4500	    128532      0.031310
      4600	    127097      0.031285
      4700	    133223      0.033682
      4800	    132680      0.032185
      4900	    134120      0.032434
      5000	    139576      0.034743
       100	      1707      0.000454
       200	      3886      0.000994
       300	      6026      0.001499
       400	      8571      0.002111
       500	     10833      0.003827
       600	     13695      0.005085
       700	     16383      0.004008
       800	     19295      0.008381
       900	     21558      0.006427
      1000	     24499      0.006369
      1100	     26754      0.006600
      1200	     31134      0.007890
      1300	     32600      0.008230
      1400	     35321      0.008480
      1500	     37057      0.010619
      1600	     38503      0.011172
      1700	     42438      0.010509
      1800	     46868      0.015393
      1900	     49388      0.012520
      2000	     53280      0.015270
      2100	     54051      0.013118
      2200	     56864      0.013941
      2300	     62090      0.015712
      2400	     63000      0.017461
      2500	     66537      0.018396
      2600	     69624      0.057439
      2700	     71886      0.017773
      2800	     73368      0.018241
      2900	     78310      0.018735
      3000	     80831      0.020249
      3100	     81610      0.022493
      3200	     88389      0.020874
      3300	     89245      0.022584
      3400	     92803      0.022023
      3500	     95889      0.022799
      3600	     95828      0.023220
      3700	    100964      0.027608
      3800	    105486      0.025062
      3900	    111435      0.026533
      4000	    114028      0.028523
      4100	    114179      0.027520
      4200	    116872      0.028279
      4300	    118600      0.028480
      4400	    123043      0.029382
      4500	    125208      0.030554
      4600	    130006      0.031276
      4700	    131829      0.031955
      4800	    131716      0.033511
      4900	    139477      0.037804
      5000	    142465      0.033880
       100	      1847      0.000650
       200	      3823      0.000986
       300	      5860      0.001460
       400	      8492      0.002076
       500	     10671      0.003733
       600	     13459      0.003392
       700	     16259      0.004704
       800	     18443      0.005780
       900	     21413      0.007286
      1000	     23459      0.005883
      1100	     26348      0.006840
